GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_DistPV_Oahu_DistPV_17	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_17	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_17	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_17	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_17	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_18	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_18	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_18	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_18	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_18	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_18	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_18	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_19	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_19	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_19	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_19	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_19	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_19	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_19	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_2	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_2	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_2	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_2	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_2	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_2	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_2	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_2	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_3	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_3	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_3	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_3	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_3	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_3	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_3	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_3	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_4	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_4	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_4	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_4	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_4	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_4	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_4	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_5	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_5	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_5	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_5	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_5	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_5	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_5	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_5	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_6	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_6	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_6	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_6	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_6	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_6	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_6	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_6	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_7	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_7	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_7	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_7	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_7	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_7	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_7	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_7	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_8	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_8	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_8	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_8	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_8	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_8	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_8	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_8	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_9	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_9	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_9	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_9	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_9	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_9	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_9	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_9	2045	1680387.77698	0.0
Oahu_H-Power	1989	1850000.0	0.0
Oahu_Honolulu_8	1954	530587.244468	0.0
Oahu_Honolulu_9	1957	530587.244468	0.0
Oahu_IC_Barge	2020	1323131.36914	34214.2214559
Oahu_IC_Barge	2022	1323476.02637	34214.2214559
Oahu_IC_Barge	2025	1323491.06125	34214.2214559
Oahu_IC_Barge	2030	1323501.64936	34214.2214559
Oahu_IC_Barge	2035	1323134.89043	34214.2214559
Oahu_IC_Barge	2040	1323619.78857	34214.2214559
Oahu_IC_Barge	2045	1323327.72788	34214.2214559
Oahu_IC_MCBH	2020	3090410.28442	33843.8169068
Oahu_IC_MCBH	2022	3060257.53281	33843.8169068
Oahu_IC_MCBH	2025	3003830.74198	33843.8169068
Oahu_IC_MCBH	2030	2933671.1074	33843.8169068
Oahu_IC_MCBH	2035	2885673.83212	33843.8169068
Oahu_IC_MCBH	2040	2855786.26957	33843.8169068
Oahu_IC_MCBH	2045	2855884.29922	33843.8169068
Oahu_IC_Schofield	2020	2424654.52866	33843.8169068
Oahu_IC_Schofield	2022	2400765.74505	33843.8169068
Oahu_IC_Schofield	2025	2357415.22364	33843.8169068
Oahu_IC_Schofield	2030	2301911.34423	33843.8169068
Oahu_IC_Schofield	2035	2264363.31814	33843.8169068
Oahu_IC_Schofield	2040	2241225.23529	33843.8169068
Oahu_IC_Schofield	2045	2241311.8274	33843.8169068
Oahu_Kahe_1	1963	530587.244468	0.0
Oahu_Kahe_2	1964	530587.244468	0.0
Oahu_Kahe_3	1970	530587.244468	0.0
Oahu_Kahe_4	1972	530587.244468	0.0
Oahu_Kahe_5	1974	530587.244468	0.0
Oahu_Kahe_6	1981	530587.244468	0.0
Oahu_Kalaeloa_CC1	1989	1850000.0	0.0
Oahu_Kalaeloa_CC2	1991	1850000.0	0.0
Oahu_Kalaeloa_CC3	1991	1850000.0	0.0
Oahu_OffshoreWind_OffWind	2020	5615998.97241	96710.0
Oahu_OffshoreWind_OffWind	2022	5139554.91047	96710.0
Oahu_OffshoreWind_OffWind	2025	4758399.66092	96710.0
Oahu_OffshoreWind_OffWind	2030	4401066.61446	96710.0
Oahu_OffshoreWind_OffWind	2035	4222400.09124	96710.0
Oahu_OffshoreWind_OffWind	2040	4043733.56801	96710.0
Oahu_OffshoreWind_OffWind	2045	3882933.6971	96710.0
Oahu_OnshoreWind_OnWind_101	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_101	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_101	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_101	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_101	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_101	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_101	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_102	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_102	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_102	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_102	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_102	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_102	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_102	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_103	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_103	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_103	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_103	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_103	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_103	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_103	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_104	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_104	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_104	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_104	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_104	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_104	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_104	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_105	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_105	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_105	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_105	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_105	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_105	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_105	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_106	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_106	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_106	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_106	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_106	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_106	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_106	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_107	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_107	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_107	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_107	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_107	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_107	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_107	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_201	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_201	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_201	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_201	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_201	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_201	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_201	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_202	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_202	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_202	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_202	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_202	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_202	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_202	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_203	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_203	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_203	2025	2317920.03779	27400.0
Oahu_OnshoreWind_OnWind_203	2030	2233664.86748	27400.0
Oahu_OnshoreWind_OnWind_203	2035	2144407.82662	27400.0
Oahu_OnshoreWind_OnWind_203	2040	2066733.99942	27400.0
Oahu_OnshoreWind_OnWind_203	2045	1986498.14189	27400.0
Oahu_OnshoreWind_OnWind_204	2020	2309475.44115	27400.0
Oahu_OnshoreWind_OnWind_204	2022	2323682.91236	27400.0
Oahu_OnshoreWind_OnWind_204	2025	2317920.03779	27400.0
